region number,d13C,Age
1,2.05,173.6
1,2.05,173.6
1,2.05,173.6
1,2.52,173.6
1,2.52,173.6
1,2.52,173.6
1,2.8,173.6
1,2.80,173.6
1,2.80,173.6
1,0.49,175.2
1,0.49,175.2
1,1.06,175.2
1,1.06,175.2
1,1.06,175.2
1,2.46,175.2
1,2.46,175.2
1,2.46,175.2
1,2.66,175.2
1,2.66,175.2
1,2.66,175.2
1,1.04,175.2
1,1.04,175.2
1,1.04,175.2
1,3.43,176.6
1,0.16,176.6
1,1.6,176.6
1,0.16,176.6
1,1.37,176.6
1,2.75,176.6
1,3.28,176.6
1,2.41,176.6
1,0.49,176.6
1,2.81,176.6
1,2.58,176.6
1,2.19,176.6
1,3.04,176.6
1,3.21,176.6
1,2.76,176.6
1,2.48,176.6
1,2.49,176.6
1,2.69,176.6
1,1.79,176.6
1,3.79,176.6
1,3.93,176.6
1,1.45,176.6
1,3.38,176.6
1,2.63,176.6
1,1.84,176.6
1,2.81,176.6
1,3.39,176.6
1,2.69,176.6
1,2.86,176.6
1,2.21,176.6
1,3.46,176.6
1,2.78,176.6
1,2.32,176.6
1,2.69,176.6
1,2.97,176.6
1,2.98,176.6
1,3.91,176.6
1,2.43,176.6
1,2.61,176.6
1,3.47,176.6
1,3.54,176.6
1,2.85,176.6
1,4.15,176.6
1,3.25,176.6
1,3.53,176.6
1,3.53,176.6
1,3.48,176.6
1,1.7,176.6
1,2.72,176.6
1,1.55,176.6
1,3.48,176.6
1,3.39,176.6
1,3.6,176.6
1,2.19,176.6
1,3.64,176.6
1,1.84,176.6
1,2.69,176.6
1,1.28,176.6
1,1.21,176.6
1,1.92,176.6
1,2.43,176.6
1,2.24,176.6
1,2.42,176.6
1,2.55,176.6
1,3.48,176.6
1,1.95,176.6
1,2.19,176.6
1,2.83,176.6
1,1.65,176.6
1,3.88,176.6
1,2.17,176.6
1,2.23,176.6
1,2.02,176.6
1,2.02,176.6
1,2.83,176.6
1,2.49,176.6
1,2.55,176.6
1,2.82,176.6
1,1.44,176.6
1,0.25,176.6
1,0.11,176.6
1,-0.1,176.6
1,0.49,176.6
1,0.49,176.6
1,1.38,176.6
1,1.38,176.6
1,1.55,176.6
1,2.48,176.6
1,2.38,176.6
1,1.89,176.6
1,0.99,176.6
1,0.09,176.6
1,1.54,176.6
1,1.24,176.6
1,2,176.6
1,1.06,176.6
1,1.39,176.6
1,-0.27,176.6
1,0.77,176.6
1,0.75,176.6
1,-0.57,176.6
1,0.83,176.6
1,1.71,176.6
1,1.13,176.6
1,1.52,176.6
1,0.67,176.6
1,-0.18,176.6
1,-0.13,176.6
1,0.79,176.6
1,-0.07,176.6
1,-0.23,176.6
1,2.34,177.8
1,2.46,177.8
1,3.18,177.8
1,2.45,177.8
1,1.83,177.8
1,1.51,177.8
1,2.02,177.8
1,2.52,177.8
1,3,177.8
1,2.28,177.8
1,3.09,177.8
1,3.84,177.8
1,3.49,177.8
1,2.85,177.8
1,3.61,177.8
1,2.75,177.8
1,2.75,177.8
1,3.44,177.8
1,1.53,177.8
1,1.45,177.8
1,2.61,177.8
1,3.13,177.8
1,2.36,177.8
1,3.67,179
1,2.4,179
1,4.28,179
1,4.48,179
1,2.85,179
1,2.7,179
1,4.13,179
1,2.39,179
1,4.74,179
1,2.39,179
1,1.98,179
1,2.54,179
1,3.29,179
1,4.69,179
1,4.67,179
1,1.42,179
1,3.82,179
1,2.91,179
1,2.91,179
1,4.91,179
1,3.4,179
1,2.98,179
1,2.98,179
1,3.81,179
1,3.81,179
1,3.22,179
1,3.19,179
1,2.62,179
1,2.87,179
1,2.87,179
1,2.53,179
1,2.78,179
1,3.11,179
1,3.51,179
1,2.68,179
1,3.27,179
1,3.27,179
1,2.35,179
1,2.14,179
1,2.63,179
1,3.02,179
1,2.92,179
1,3.47,179
1,2.80,179
1,2.80,179
1,2.43,179
1,2.43,179
1,2.63,179
1,2.63,179
1,3.45,179
1,2.90,179
1,2.90,179
1,4.76,179
1,3.55,179
1,3.14,179
1,3.39,179
1,3.76,179
1,3.25,179
1,3.61,179
1,2.75,179
1,2.75,179
1,1.95,179
1,1.47,179
1,3.06,179
1,3.21,179
1,3.01,179
1,3.01,179
1,2.91,179
1,2.54,179
1,1.92,179
1,1.92,179
1,3.06,179
1,1.51,179
1,0.93,179
1,3.88,180.5
1,4.54,180.5
1,3.76,180.5
1,3.04,180.5
1,4.52,180.5
1,4.45,180.5
1,3.72,180.5
1,2.67,180.5
1,2.67,180.5
1,3.42,180.5
1,3.42,180.5
1,4.42,180.5
1,3.89,180.5
1,3.89,180.5
1,3.85,180.5
1,3.72,180.5
1,4.02,180.5
1,2.73,180.5
1,2.73,180.5
1,3.17,180.5
1,4.13,180.5
1,4.13,180.5
1,3.46,180.5
1,3.46,180.5
1,4.24,180.5
1,2.40,180.5
1,2.40,180.5
1,4.06,180.5
1,4.06,180.5
1,4.02,180.5
1,3.45,180.5
1,3.45,180.5
1,4.25,180.5
1,3.8,180.5
1,3.72,180.5
1,3.9,180.5
1,4.39,180.5
1,4.62,180.5
1,3.04,180.5
1,3.04,180.5
1,3.21,180.5
1,2.81,180.5
1,2.81,180.5
1,4.03,180.5
1,3.45,180.5
1,3.45,180.5
1,4.2,180.5
1,3.65,180.5
1,2.15,180.5
1,4.17,180.5
1,3.09,180.5
1,3.09,180.5
1,3.08,180.5
1,2.8,180.5
1,4.27,180.5
1,3.68,180.5
1,4.02,180.5
1,4.02,180.5
1,2.63,180.5
1,3.61,180.5
1,3.59,180.5
1,2.94,180.5
1,3.79,180.5
1,4.38,180.5
1,2.85,180.5
1,4.37,180.5
1,2.07,180.5
1,3.95,180.5
1,2.99,180.5
1,4.38,180.5
1,3.39,180.5
1,4.42,180.5
1,4.42,180.5
1,2.64,180.5
1,2.64,180.5
1,3.39,180.5
1,1.99,180.5
1,4.69,180.5
1,2.77,180.5
1,2.77,180.5
1,2.69,180.5
1,2.69,180.5
1,2.84,180.5
1,4.06,180.5
1,4.06,180.5
1,3.52,180.5
1,1.55,180.5
1,2.83,180.5
1,4.02,180.5
1,3.38,180.5
1,4.19,180.5
1,4.19,180.5
1,3.4,180.5
1,2.85,180.5
1,4.08,180.5
1,3.29,180.5
1,2.92,180.5
1,3.71,180.5
1,3.71,180.5
1,2.92,180.5
1,2.8,180.5
1,2.12,180.5
1,3.22,180.5
1,4.27,180.5
1,4.46,180.5
1,2.89,180.5
1,4.67,180.5
1,4.29,180.5
1,4.29,180.5
1,3.26,180.5
1,3.46,180.5
1,2.86,180.5
1,2.86,180.5
